0,1,2,3,4,5,6,7,8
IN03,Energy,IN0301,"Oil, Gas & 
Consumable Fuels",IN030101,Gas,IN030101003,"LPG/CNG/PNG/LNG 
Supplier","Companies engaged in distribution of LPG, CNG, 
PNG and LNG"
IN03,Energy,IN0301,"Oil, Gas & 
Consumable Fuels",IN030101,Gas,IN030101004,Trading - Gas,Companies engaged in the activity of trading in gas
IN03,Energy,IN0301,"Oil, Gas & 
Consumable Fuels",IN030102,Oil,IN030102001,"Oil Exploration & 
Production","Companies engaged in the exploration and 
production of oil"
IN03,Energy,IN0301,"Oil, Gas & 
Consumable Fuels",IN030102,Oil,IN030102002,"Offshore Support Solution 
Drilling","Companies providing offshore drilling services to oil 
companies"
IN03,Energy,IN0301,"Oil, Gas & 
Consumable Fuels",IN030102,Oil,IN030102003,"Oil Storage & 
Transportation","Companies engaged in providing storage and 
transportation facility for oil companies"
IN03,Energy,IN0301,"Oil, Gas & 
Consumable Fuels",IN030102,Oil,IN030102004,Oil Equipment & Services,"Manufacturers of equipment for and providers of 
services to the oil and gas industry"
IN03,Energy,IN0301,"Oil, Gas & 
Consumable Fuels",IN030103,Petroleum Products,IN030103001,Refineries & Marketing,"Companies engaged in the refining and marketing 
of oil, gas and petroleum products"
IN03,Energy,IN0301,"Oil, Gas & 
Consumable Fuels",IN030103,Petroleum Products,IN030103002,Lubricants,Manufacturers and distributors of lubricants
IN03,Energy,IN0301,"Oil, Gas & 
Consumable Fuels",IN030104,Consumable Fuels,IN030104001,Coal,"Companies engaged in exploration, mining and 
distribution of coal, coke and lignite etc."
IN03,Energy,IN0301,"Oil, Gas & 
Consumable Fuels",IN030104,Consumable Fuels,IN030104002,Trading - Coal,"Companies engaged in trading and distribution of 
coal, coke and lignite etc."
IN04,"Fast Moving Consumer 
Goods",IN0401,"Fast Moving 
Consumer Goods",IN040101,"Agricultural Food & 
other Products",IN040101001,Edible Oil,Producers and distributors of edible oil
IN04,"Fast Moving Consumer 
Goods",IN0401,"Fast Moving 
Consumer Goods",IN040101,"Agricultural Food & 
other Products",IN040101002,Sugar,"Producers and distributors of sugar and allied 
products"
